"item","study_id","sub_id","response_id","task","prompt","response","jrt","se","num_raters","dist","ID","cut"
"birds","study_1",1,1,"experiment","testing bird's understanding of human speech","give birds rewards for understanding what humans say and see if that incentivizes them to correctly interpret human speech",0.411487721733174,0.509228903223588,2,1.6,"1-study_1-1","cut"
"birds","study_1",1,2,"experiment","testing bird's understanding of human speech","say things to birds that are important, ex. where their food is, and see if they can follow directions better than birds who had not been given those directions",0.411487721733174,0.509228903223588,2,1.6,"1-study_1-2","cut"
"birds","study_1",1,3,"experiment","testing bird's understanding of human speech","test verbal brain functioning of birds when humans speak to them in words vs in gibberish",1.85933432269091,0.57445184796271,2,2.46666666666667,"1-study_1-3","cut"
"birds","study_1",48,1825,"experiment","testing bird's understanding of human speech","you can say something very out of context and observe how they react",-0.600926277347361,0.534704697189034,2,1.06666666666667,"48-study_1-1825","cut"
"birds","study_1",48,1826,"experiment","testing bird's understanding of human speech","you can start speaking in a made up language and observe how the bird reacts",0.297018897571873,0.565217157396279,2,1.73333333333333,"48-study_1-1826","cut"
"birds","study_1",52,1948,"experiment","testing bird's understanding of human speech","hang out around some birds and talk about destroying their favorite birdhouse. if they move, boom, they know",0.411487721733174,0.509228903223588,2,1.6,"52-study_1-1948","cut"
"birds","study_1",67,2557,"experiment","testing bird's understanding of human speech","do something that is important to their lives and see if they still ignore us.",-0.600926277347361,0.534704697189034,2,1.06666666666667,"67-study_1-2557","cut"
"birds","study_1",52,1950,"experiment","testing bird's understanding of human speech","i could set up a secret camera and have normal conversation and then test to see if they have any type of reaction",-0.600926277347361,0.534704697189034,2,1.06666666666667,"52-study_1-1950","cut"
"birds","study_1",8,251,"experiment","testing bird's understanding of human speech","start a conversation with someone standing next to a bird and see if they fly away or not",-1.18206875196488,0.591561058580029,2,0.866666666666667,"8-study_1-251","keep"
"birds","study_1",8,252,"experiment","testing bird's understanding of human speech","talk to the bird",-1.86701605999607,0.616260121355475,2,0.533333333333333,"8-study_1-252","keep"
"birds","study_1",130,4989,"experiment","testing bird's understanding of human speech","tell a bird that humans have found a new virus contracted by only birds. tell them bird that you have a bird friendly vaccine to make one immune to said virus and that all they need do is respond to you.",0.411487721733174,0.509228903223588,2,1.6,"130-study_1-4989","cut"
"birds","study_1",37,1347,"experiment","testing bird's understanding of human speech","could these birds communicate with other animals, like cats or dogs?",-0.0930529724542082,0.52334137639875,2,1.4,"37-study_1-1347","cut"
"birds","study_1",115,4385,"experiment","testing bird's understanding of human speech","get multiple birds attention",-1.18206875196488,0.591561058580029,2,0.866666666666667,"115-study_1-4385","keep"
"birds","study_1",115,4386,"experiment","testing bird's understanding of human speech","give them something and see if they pay more attention",-0.0930529724542082,0.52334137639875,2,1.4,"115-study_1-4386","cut"
"birds","study_1",115,4387,"experiment","testing bird's understanding of human speech","invade they homes to see how they respond",0.411487721733174,0.509228903223588,2,1.6,"115-study_1-4387","cut"
"birds","study_1",136,5237,"experiment","testing bird's understanding of human speech","monitor a bird's brainwaves to see if there is a difference for when humans talk that could signal an understanding",1.27663586133402,0.579489358201391,2,2.26666666666667,"136-study_1-5237","cut"
"birds","study_1",136,5238,"experiment","testing bird's understanding of human speech","trap birds in an area where they need the instruction from humans to figure out how to escape",0.411487721733174,0.509228903223588,2,1.6,"136-study_1-5238","cut"
"birds","study_1",34,1232,"experiment","testing bird's understanding of human speech","say something that would be important to the bird",-0.600926277347361,0.534704697189034,2,1.06666666666667,"34-study_1-1232","cut"
"birds","study_1",5,140,"experiment","testing bird's understanding of human speech","talk to birds and scan their brain activity",0.625540838833978,0.65786981634165,2,2.06666666666667,"5-study_1-140","cut"
"birds","study_1",11,384,"experiment","testing bird's understanding of human speech","evaluate a bird's brain waves when a human is talking",0.625540838833978,0.65786981634165,2,2.06666666666667,"11-study_1-384","cut"
"birds","study_1",11,385,"experiment","testing bird's understanding of human speech","have people say a range of statements and their importance",-0.600926277347361,0.534704697189034,2,1.06666666666667,"11-study_1-385","cut"
"birds","study_1",11,386,"experiment","testing bird's understanding of human speech","study a bird's brain",0.625540838833978,0.65786981634165,2,2.06666666666667,"11-study_1-386","cut"
"birds","study_1",107,4030,"experiment","testing bird's understanding of human speech","take two birds, and provide the same amount of communication towards them and see if one acts different",-0.600926277347361,0.534704697189034,2,1.06666666666667,"107-study_1-4030","cut"
"birds","study_1",40,1481,"experiment","testing bird's understanding of human speech","talk about bird survival to them and see how they react",-0.0930529724542082,0.52334137639875,2,1.4,"40-study_1-1481","cut"
"birds","study_1",40,1482,"experiment","testing bird's understanding of human speech","try talking to a bird about bird things and see how they react",-0.600926277347361,0.534704697189034,2,1.06666666666667,"40-study_1-1482","cut"
"birds","study_1",40,1483,"experiment","testing bird's understanding of human speech","try talking to a bird about what i want and see how they react",-1.18206875196488,0.591561058580029,2,0.866666666666667,"40-study_1-1483","keep"
"birds","study_1",124,4763,"experiment","testing bird's understanding of human speech","saying that there are a lot of worms in a certain area.",0.411487721733174,0.509228903223588,2,1.6,"124-study_1-4763","cut"
"birds","study_1",77,2942,"experiment","testing bird's understanding of human speech","study a bird's brain",0.168842284066072,0.822155484065251,2,1.86666666666667,"77-study_1-2942","cut"
