robot,study_1,25,948,research question,a robot that can learn and think like humans,should this robot be allowed to live among society as a human?,0.831345268900308,0.360764015291466,6,1.53333333333333,25-study_1-948,cut
robot,study_1,134,5201,research question,a robot that can learn and think like humans,could this robot be programmed to learn using the various ways that humans have adapted to learn?,0.438980278320857,0.290160355875269,6,0.533333333333333,134-study_1-5201,keep
robot,study_1,85,3220,research question,a robot that can learn and think like humans,will this robot be able to control itself one day,0.729955539613897,0.310058072836396,6,1.06666666666667,85-study_1-3220,cut
robot,study_1,105,3982,research question,a robot that can learn and think like humans,what type of programming does the robot have,-0.369665144071459,0.335219428187575,6,0.666666666666667,105-study_1-3982,keep
robot,study_1,133,5157,research question,a robot that can learn and think like humans,is this robot smarter than humans?,0.271109045482468,0.298623148068075,6,0.6,133-study_1-5157,keep
robot,study_1,133,5156,research question,a robot that can learn and think like humans,could this robot be dangerous,-0.160674210042791,0.325084962858066,6,0.866666666666667,133-study_1-5156,keep
robot,study_1,116,4473,research question,a robot that can learn and think like humans,how can a robot comprehend information as compared to a human?,0.0945809731159678,0.305119091443903,6,0.533333333333333,116-study_1-4473,keep
robot,study_1,106,4026,research question,a robot that can learn and think like humans,how does a robot perceive human faces? does the robot see faces the same way humans do and do certain faces look more male or female,1.56981985043845,0.30126327305919,6,0.866666666666667,106-study_1-4026,keep
robot,study_1,106,4027,research question,a robot that can learn and think like humans,what type of motions can you conduct? by asking this you could determine what the brain actually controls since a robot does not have a brain,0.359475260580737,0.398883367928503,6,1.73333333333333,106-study_1-4027,cut
robot,study_1,123,4760,research question,a robot that can learn and think like humans,what can the robot learn that we can learn,-0.13713360308375,0.332801383982271,6,0.866666666666667,123-study_1-4760,keep
robot,study_1,94,3544,research question,a robot that can learn and think like humans,"can the robot believe in spiritual forces, like having faith in god?",1.98013682067463,0.326443975883584,6,1.13333333333333,94-study_1-3544,cut
robot,study_1,21,791,research question,a robot that can learn and think like humans,does it have the same vision as us,1.40447402327112,0.295703368233643,6,0.933333333333333,21-study_1-791,keep
robot,study_1,123,4759,research question,a robot that can learn and think like humans,how can you get a robot to act like a human,-0.307349937033323,0.326121172221777,6,0,123-study_1-4759,keep
robot,study_1,124,4804,research question,a robot that can learn and think like humans,how will this robot impact our lives?,-0.142603320146224,0.327101602110645,6,0.866666666666667,124-study_1-4804,keep
robot,study_1,11,421,research question,a robot that can learn and think like humans,could this replace people,-0.160674210042791,0.325084962858066,6,0.866666666666667,11-study_1-421,keep
robot,study_1,136,5277,research question,a robot that can learn and think like humans,can we realistically put this robot out into the human workforce,0.563272845928316,0.303434508553012,6,0.866666666666667,136-study_1-5277,keep
